Year,Month,Day,Latitude,Longitude,Magnitude
1980,4,7,36.62,29.032,5.4
1980,4,12,35.976,28.704,5.5
1980,4,28,35.986,28.342,5.6
1980,6,9,36.017,28.38,4.6
1980,8,2,35.979,28.935,6.0
1980,9,22,36.669,28.374,5.6
1981,3,12,36.702,28.346,4.4
1981,6,6,36.067,29.035,4.8
1981,6,14,36.138,28.63,5.5
1981,8,10,35.82,28.429,5.4
1981,12,26,36.265,28.728,4.8
1982,1,19,36.577,29.375,5.0
1982,1,23,36.115,28.489,5.7
1982,7,19,36.445,29.007,4.7
1982,10,6,36.209,29.257,4.8
1982,11,11,36.34,28.55,6.6
1982,11,23,35.855,28.324,5.5
1983,1,22,36.293,28.977,5.5
1983,4,18,36.664,28.328,6.5
1983,10,7,35.604,28.464,4.6
1983,12,15,35.566,29.457,4.3
1984,6,13,35.865,29.259,4.7
1985,5,1,35.785,29.066,5.2
1985,6,13,35.678,28.517,5.7
1985,12,4,36.439,28.792,4.8
1986,12,5,36.511,29.211,5.2
1987,2,24,36.377,29.128,5.2
1987,5,5,36.112,28.961,4.7
1987,6,16,36.037,29.352,4.2
1987,10,7,36.085,29.412,5.7
1987,11,15,36.397,28.417,4.9
1987,12,8,35.713,28.668,5.7
1988,5,13,36.453,28.657,4.7
1988,6,20,35.679,29.184,5.5
1988,12,8,35.981,29.456,4.9
1989,1,11,36.658,28.598,5.1
1989,1,18,36.571,29.22,4.3
1989,5,22,36.351,29.255,6.0
1989,6,24,36.439,29.194,5.8
1989,7,20,35.526,28.836,4.7
1989,8,3,35.527,28.734,5.1
1989,10,28,36.325,29.183,4.8
1989,12,13,36.154,28.473,4.9
1990,1,11,36.595,29.322,5.5
1990,8,10,36.538,28.718,5.8
1990,9,11,35.919,29.408,5.9
1990,12,10,35.89,29.312,6.2
1991,3,23,36.572,28.436,5.6
1991,6,13,35.716,29.102,5.5
1991,10,18,36.561,29.261,5.2
1991,12,4,36.205,29.289,5.6
1992,1,20,36.762,28.604,5.0
1992,5,20,35.948,28.463,5.7
1992,5,23,36.307,28.955,5.4
1992,6,13,36.535,28.776,5.5
1993,5,12,36.767,28.964,4.1
1994,1,22,36.469,28.933,4.8
1994,6,25,35.842,28.336,5.4
1994,8,26,36.644,28.376,5.1
1994,11,12,36.365,29.063,6.1
1995,12,10,36.369,28.479,6.6
1995,12,16,35.948,28.726,5.8
1996,2,26,35.927,28.605,4.6
1996,4,7,36.428,29.182,4.0
1996,8,13,35.661,28.551,5.2
1996,10,12,36.699,29.472,5.5
1996,10,14,36.476,28.559,5.0
1996,10,15,36.15,28.705,5.2
1997,2,9,36.401,28.992,5.7
1997,8,28,35.805,29.087,5.9
1998,4,28,35.745,28.413,4.9
1998,5,15,36.302,29.281,5.6
1998,5,23,35.996,28.331,6.0
1998,5,28,35.777,29.248,5.7
1998,9,9,36.408,28.499,4.1
1998,11,12,36.75,28.609,6.0
1999,4,17,36.478,29.232,4.6
2000,3,24,36.679,29.257,5.3
2000,5,13,35.692,29.293,6.0
2000,11,4,36.751,29.229,5.4
2000,12,25,36.589,28.618,5.9
2001,1,18,36.58,29.231,4.5
2002,5,10,35.73,28.827,5.5
2002,9,11,36.1,28.519,4.0
2002,10,5,36.296,28.369,5.0
2002,10,23,36.399,29.334,5.3
2004,1,1,36.433,28.706,4.8
2004,1,25,35.813,28.524,5.9
2004,2,15,35.532,28.322,4.5
2004,2,24,36.579,28.9,4.9
2004,10,3,35.782,29.179,4.5
2004,10,23,36.038,29.108,5.0
2004,11,18,35.982,29.202,4.9
2005,3,22,35.794,29.089,4.6
2005,4,20,35.89,29.252,5.8
2005,5,13,35.761,29.094,5.5
2005,9,28,36.321,28.965,5.5
2006,5,4,36.086,28.445,4.6
2006,6,27,36.448,29.301,4.8
2006,12,3,36.482,29.252,4.8
2007,4,20,35.863,28.901,5.1
2007,5,18,35.951,28.323,5.1
2007,6,18,36.422,29.015,5.6
2008,1,17,36.009,29.319,5.9
