SquareFootage,Price($1000s)
500.0,111.43
525.3,96.18
550.5,122.41
575.8,127.64
601.0,89.68
626.3,100.82
651.5,123.76
676.8,119.58
702.0,126.44
727.3,115.88
752.5,145.37
777.8,146.39
803.0,137.37
828.3,157.45
853.5,149.0
878.8,128.69
904.0,152.34
929.3,131.22
954.5,166.57
979.8,152.16
1005.1,152.03
1030.3,144.98
1055.6,183.79
1080.8,159.66
1106.1,156.59
1131.3,160.4
1156.6,180.72
1181.8,179.83
1207.1,183.32
1232.3,186.23
1257.6,225.59
1282.8,173.0
1308.1,172.94
1333.3,168.44
1358.6,203.04
1383.8,217.4
1409.1,191.21
1434.3,176.48
1459.6,179.01
1484.8,216.76
1510.1,221.61
1535.4,219.28
1560.6,191.63
1585.9,216.53
1611.1,216.04
1636.4,221.11
1661.6,240.63
1686.9,226.16
1712.1,240.79
1737.4,226.88
1762.6,235.34
1787.9,247.26
1813.1,191.64
1838.4,225.65
1863.6,223.67
1888.9,221.09
1914.1,233.86
1939.4,288.06
1964.6,221.02
1989.9,277.98
2015.2,200.66
2040.4,243.64
2065.7,261.24
2090.9,276.83
2116.2,283.31
2141.4,288.51
2166.7,254.71
2191.9,253.35
2217.2,298.49
2242.4,266.76
2267.7,233.27
2292.9,240.05
2318.2,249.31
2343.4,299.49
2368.7,289.9
2393.9,311.24
2419.2,274.96
2444.4,297.78
2469.7,316.74
2494.9,285.99
2520.2,315.83
2545.5,277.84
2570.7,290.96
2596.0,292.57
2621.2,264.67
2646.5,329.61
2671.7,296.14
2697.0,316.69
2722.2,336.99
2747.5,338.21
2772.7,349.23
2798.0,321.96
2823.2,311.54
2848.5,327.44
2873.7,265.58
2899.0,277.16
2924.2,284.19
2949.5,299.49
2974.7,350.0
3000.0,307.51
