,Lot_Frontage,Lot_Area,Bldg_Type,House_Style,Overall_Cond,Year_Built,Exter_Cond,Total_Bsmt_SF,First_Flr_SF,Second_Flr_SF,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Fireplaces,Longitude,Latitude,Sale_Price
214,83,11980,OneFam,One_Story,Average,1987,Typical,1433,1433,0,1,1,1,1,2,-93.685988,42.032076,270000
1714,60,6180,OneFam,One_Story,Average,1926,Typical,960,986,0,1,0,2,1,1,-93.6212119,42.0314873,102000
1638,68,7942,OneFam,One_Story,Good,1953,Typical,1040,1040,0,1,0,3,1,0,-93.618428,42.03981,136000
707,0,7976,Duplex,Two_Story,Average,2000,Typical,1168,1168,1619,4,2,6,2,2,-93.679181,42.0309301,269500
1670,66,6760,OneFam,SFoyer,Average,1962,Typical,896,936,0,1,0,3,1,1,-93.604562,42.035034,130000
1895,46,3672,OneFam,One_Story,Good,1922,Typical,816,816,0,1,0,2,1,0,-93.625313,42.0228,75200
67,55,7892,Twnhs,One_Story,Average,1979,Typical,918,918,0,2,0,2,1,1,-93.686263,42.034589,99500
333,80,11088,OneFam,One_Story,Average,1978,Typical,1140,1707,0,2,0,3,1,1,-93.637043,42.05288,184000
1330,0,11700,OneFam,One_and_Half_Fin,Above_Average,1937,Typical,942,1265,673,2,0,4,1,1,-93.63962,42.018888,198000
979,63,13072,OneFam,One_Story,Average,2005,Typical,1175,1175,0,1,0,3,1,0,-93.691836,42.037918,146000
1971,60,8147,Twnhs,One_Story,Average,2005,Typical,1714,1714,0,2,0,2,1,1,-93.63007,42.058563,318000
1948,65,11625,OneFam,One_Story,Good,1983,Typical,816,816,0,1,0,2,1,0,-93.6030815,41.9881729,139000
1711,51,6120,OneFam,Two_Story,Very_Good,1920,Typical,939,939,574,1,1,4,1,0,-93.621502,42.032386,137500
1282,64,8320,OneFam,Two_Story,Average,2004,Typical,770,770,812,2,1,3,1,0,-93.684397,42.013622,185900
1551,24,2117,Twnhs,Two_Story,Average,2000,Typical,756,769,804,2,1,3,1,0,-93.645639,42.046145,177000
1389,60,6600,OneFam,One_Story,Very_Good,1982,Good,816,816,0,1,0,2,1,0,-93.603916,41.988076,138000
2283,73,9069,Duplex,SFoyer,Very_Good,1993,Good,1344,1440,0,2,0,2,2,0,-93.6801515,42.0315156,224500
549,73,8760,OneFam,One_Story,Good,1956,Typical,1169,1144,0,1,0,3,1,0,-93.618784,42.043966,150000
1633,70,12198,OneFam,One_Story,Above_Average,1955,Typical,1204,1411,0,1,0,3,1,1,-93.612301,42.04302,130000
1441,63,9457,OneFam,One_Story,Above_Average,1970,Typical,925,1422,0,1,0,3,1,0,-93.629118,42.053407,155000
964,86,14598,OneFam,Two_Story,Average,2007,Typical,894,894,1039,2,1,4,1,1,-93.644145,42.055157,214000
